diseases,medicine_1,medicine_2,medicine_3,side_effects
lymphadenitis,Amoxicillin-Clavulanate,Clindamycin,Cephalexin,"Diarrhea, nausea, allergic reactions, C. difficile infection, skin rash"
injury to the face,Ibuprofen,Acetaminophen,Amoxicillin-Clavulanate (if infected),"GI upset, nausea, hepatotoxicity (acetaminophen overdose), renal impairment, allergic reactions"
aortic valve disease,Valve Replacement Surgery,Transcatheter Aortic Valve Implantation (TAVI),Furosemide (symptom management),"Bleeding, electrolyte imbalance, stroke risk, fluid shifts, infection"
rheumatoid arthritis,Methotrexate,Hydroxychloroquine,Leflunomide,"Hepatotoxicity, nausea, bone marrow suppression, retinopathy, diarrhea"
spermatocele,Ibuprofen (pain relief),Surgical Spermatocelectomy,Aspiration (if symptomatic),"GI upset, local pain and bruising, bleeding, infection, recurrence"
impetigo,Mupirocin (topical),Retapamulin (topical),Cephalexin (oral - extensive),"Local skin irritation, burning, allergic reactions, diarrhea, nausea"
anal fistula,Fistulotomy (surgical),Seton Placement,Infliximab (Crohn's-related),"Bleeding, infection, increased infection risk (infliximab), incontinence, pain"
hypothermia,Active External Rewarming,Warm IV Fluids (Normal Saline),Warmed Humidified Oxygen,"Rewarming arrhythmias, fluid overload, electrolyte imbalance, hypotension, mucosal dryness"
oppositional disorder,Behavioral Parent Training,Cognitive Behavioral Therapy (CBT),Risperidone (if severe),"Weight gain, sedation, emotional distress during therapy, extrapyramidal symptoms, metabolic changes"
migraine,Sumatriptan,Rizatriptan,Naproxen Sodium,"Chest tightness, dizziness, GI upset, rebound headache, flushing"
diabetic peripheral neuropathy,Duloxetine,Pregabalin,Gabapentin,"Dizziness, somnolence, nausea, peripheral edema, weight gain"
testicular disorder,Testosterone Replacement (hypogonadism),Orchiopexy (cryptorchidism),Ibuprofen (epididymo-orchitis adjunct),"Polycythemia, GI upset, bleeding, infection, testicular atrophy"
gestational diabetes,Medical Nutrition Therapy (MNT),Insulin (NPH/Regular),Metformin,"Hypoglycemia, nausea, GI upset, lactic acidosis (rare), nutritional deficiency"
hidradenitis suppurativa,Adalimumab,Clindamycin (topical),Tetracycline (oral),"Injection site reactions, increased infection risk, photosensitivity, nausea, skin dryness"
valley fever (coccidioidomycosis),Fluconazole,Itraconazole,Amphotericin B (severe),"Nausea, hepatotoxicity, nephrotoxicity (amphotericin), QT prolongation, electrolyte disturbance"
conjunctivitis due to bacteria,Erythromycin (ophthalmic),Azithromycin (ophthalmic),Trimethoprim-Polymyxin B,"Local eye irritation, burning, blurred vision, stinging, allergic conjunctivitis"
lewy body dementia,Rivastigmine,Donepezil,Carbidopa-Levodopa (motor symptoms),"Nausea, vomiting, bradycardia, hallucinations, orthostatic hypotension"
multiple myeloma,Bortezomib,Lenalidomide,Dexamethasone,"Peripheral neuropathy, thromboembolism, hyperglycemia, fatigue, myelosuppression"
head injury,Mannitol (increased ICP),Hypertonic Saline,Levetiracetam (seizure prophylaxis),"Electrolyte imbalance, renal impairment, irritability, hypotension, rebound ICP"
ascending cholangitis,Piperacillin-Tazobactam,Meropenem (severe),ERCP with biliary drainage,"Diarrhea, allergic reactions, pancreatitis (ERCP), C. difficile infection, nausea"
idiopathic irregular menstrual cycle,Combined Oral Contraceptive Pill,Medroxyprogesterone Acetate,Levonorgestrel IUD,"Nausea, irregular bleeding, thromboembolism, mood changes, headache"
interstitial lung disease,Nintedanib,Pirfenidone,Prednisone (inflammatory subtypes),"Diarrhea, nausea, photosensitivity, hepatotoxicity, hyperglycemia"
mononeuritis,Prednisone,Physical Therapy,Ibuprofen,"Hyperglycemia, GI upset, muscle soreness, osteoporosis, immunosuppression"
malaria,Artemether-Lumefantrine,Artesunate (severe),Hydroxychloroquine (P. vivax),"Headache, dizziness, nausea, QT prolongation, retinopathy (hydroxychloroquine)"
somatization disorder,Cognitive Behavioral Therapy (CBT),Antidepressants (SSRIs),Regular Scheduled Primary Care Visits,"Nausea, insomnia, sexual dysfunction, emotional distress during therapy, weight changes"
hypovolemia,IV Normal Saline,Lactated Ringer's Solution,Albumin (colloid),"Fluid overload, electrolyte disturbance, allergic reactions, hyperchloremic acidosis, phlebitis"
schizophrenia,Risperidone,Olanzapine,Haloperidol,"Weight gain, extrapyramidal symptoms, metabolic syndrome, sedation, QT prolongation"
knee ligament or meniscus tear,Physical Therapy,Arthroscopic Surgery,Ibuprofen,"Muscle soreness, GI upset, bleeding, infection, joint stiffness"
endocarditis,Penicillin G + Gentamicin,Vancomycin (MRSA),Ceftriaxone,"Nephrotoxicity, ototoxicity, allergic reactions, red man syndrome, hepatotoxicity"
sepsis,Piperacillin-Tazobactam,Vancomycin,Norepinephrine (vasopressor),"Nephrotoxicity, diarrhea, arrhythmias, C. difficile infection, tissue ischemia"
heat stroke,Rapid Evaporative Cooling,Cold Water Immersion,IV Normal Saline,"Electrolyte disturbance, fluid overload, shivering, hyperchloremic acidosis, skin irritation"
cholecystitis,Cholecystectomy (laparoscopic),Piperacillin-Tazobactam (antibiotics),Ketorolac (pain),"Bleeding, GI upset, infection, renal impairment, C. difficile infection"
cardiac arrest,Cardiopulmonary Resuscitation (CPR),Epinephrine,Defibrillation (shockable rhythm),"Rib fractures, tachycardia, arrhythmias, skin burns, myocardial injury"
cardiomyopathy,Lisinopril (ACE inhibitor),Carvedilol (beta-blocker),Furosemide,"Dry cough, bradycardia, electrolyte imbalance, hypotension, renal impairment"
social phobia,Sertraline,Venlafaxine,Cognitive Behavioral Therapy (CBT),"Nausea, insomnia, hypertension, sexual dysfunction, emotional distress during therapy"
meningitis,Ceftriaxone,Vancomycin (add for resistant),Dexamethasone (adjunct),"Allergic reactions, nephrotoxicity, hyperglycemia, C. difficile infection, immunosuppression"
spherocytosis,Folic Acid,Splenectomy (severe),Blood Transfusion (crisis),"Iron overload, infection risk post-splenectomy, transfusion reactions, bloating, alloimmunization"
hormone disorder,Levothyroxine (hypothyroidism),Hydrocortisone (adrenal insufficiency),Cabergoline (prolactinoma),"Palpitations, hyperglycemia, nausea, orthostatic hypotension, osteoporosis"
raynaud disease,Nifedipine,Amlodipine,Losartan,"Peripheral edema, flushing, headache, hypotension, dizziness"
reactive arthritis,Ibuprofen (NSAIDs),Naproxen,Sulfasalazine (chronic),"GI upset, nausea, hepatotoxicity, peptic ulcer, bone marrow suppression"
scabies,Permethrin 5% Cream,Ivermectin (oral),Benzyl Benzoate,"Skin burning, itching at application site, nausea, dizziness, skin irritation"
ear wax impaction,Carbamide Peroxide (cerumenolytic),Irrigation (ear syringing),Manual Removal (curette),"Local irritation, dizziness, ear canal trauma, tympanic membrane risk, discomfort"
hypertension of pregnancy,Labetalol,Nifedipine (extended release),Methyldopa,"Bradycardia, hypotension, flushing, sedation, neonatal bradycardia"
peripheral arterial embolism,Heparin (anticoagulation),Embolectomy (surgical),Alteplase (thrombolysis),"Bleeding, HIT, intracranial hemorrhage, hypotension, infection"
rosacea,Metronidazole (topical),Azelaic Acid (topical),Doxycycline (oral),"Local skin irritation, dryness, photosensitivity, burning, nausea"
fracture of the skull,Neurosurgical Intervention (if displaced),Mannitol (ICP management),Ceftriaxone (if open),"Bleeding, electrolyte imbalance, infection, renal impairment, allergic reactions"
uveitis,Prednisolone Acetate (topical),Cyclopentolate (mydriatic),Prednisone (oral - severe),"Increased intraocular pressure, cataracts, blurred vision, hyperglycemia, immunosuppression"
fracture of the facial bones,Open Reduction Internal Fixation (ORIF),Ibuprofen,Amoxicillin-Clavulanate,"Bleeding, GI upset, infection, allergic reactions, nerve damage"
tracheitis,Amoxicillin-Clavulanate,Ceftriaxone (severe),Dexamethasone (airway),"Diarrhea, nausea, hyperglycemia, allergic reactions, immunosuppression"
jaw disorder (TMJ),Ibuprofen,Muscle Relaxants (Cyclobenzaprine),Occlusal Splint Therapy,"GI upset, sedation, dry mouth, dizziness, jaw soreness"
perirectal infection,Incision and Drainage (I&D),Amoxicillin-Clavulanate,Ciprofloxacin + Metronidazole,"Pain, diarrhea, nausea, metallic taste, C. difficile infection"
breast cyst,Aspiration (fine needle),Combined Oral Contraceptive (prevention),Danazol (refractory),"Local pain, nausea, thromboembolism, weight gain, hirsutism"
post-traumatic stress disorder (ptsd),Sertraline,Paroxetine,Prolonged Exposure Therapy,"Nausea, insomnia, sexual dysfunction, weight gain, temporary emotional distress"
kidney cancer,Sunitinib,Pembrolizumab,Nephrectomy (surgery),"Fatigue, hypertension, immune-related adverse events, bleeding, hand-foot syndrome"
vulvar cancer,Surgical Resection,Chemoradiation (Cisplatin + RT),Cisplatin (neoadjuvant),"Nephrotoxicity, myelosuppression, nausea, bleeding, radiation skin reactions"
blepharitis,Lid Hygiene (warm compresses),Erythromycin (ophthalmic ointment),Doxycycline (oral - chronic),"Local eye irritation, photosensitivity, blurred vision, nausea, skin irritation"
celiac disease,Strict Gluten-Free Diet,Dietary Counseling,Budesonide (refractory),"Nutritional deficiencies, hyperglycemia, adrenal suppression, compliance difficulty, increased infection risk"
cystitis,Nitrofurantoin,Trimethoprim-Sulfamethoxazole,Fosfomycin,"Nausea, rash, pulmonary toxicity (nitrofurantoin long-term), diarrhea, photosensitivity"
sickle cell anemia,Hydroxyurea,Voxelotor,L-Glutamine,"Bone marrow suppression, nausea, headache, rash, abdominal discomfort"
subconjunctival hemorrhage,Artificial Tears,Observation,Lubricating Eye Drops,"Temporary blurred vision, preservative-related irritation, patient anxiety, allergic reaction"
hemorrhoids,Fiber Supplementation,Sitz Baths,Rubber Band Ligation,"Bloating, flatulence, pain after ligation, bleeding, skin maceration"
contact dermatitis,Hydrocortisone (topical),Triamcinolone (topical),Diphenhydramine (oral - itch),"Skin atrophy, sedation, dry mouth, secondary infections, HPA suppression"
sinus bradycardia,Atropine,Transcutaneous Pacing,Dopamine (infusion),"Dry mouth, tachycardia, skin burns (pacing), arrhythmias, urinary retention"
high blood pressure,Amlodipine,Lisinopril,Hydrochlorothiazide,"Peripheral edema, dry cough, electrolyte imbalance, dizziness, hyperuricemia"
pelvic inflammatory disease,Cefoxitin + Doxycycline,Ceftriaxone + Doxycycline + Metronidazole,Clindamycin + Gentamicin,"Nausea, photosensitivity, nephrotoxicity, C. difficile infection, GI upset"
liver disease,Tenofovir (hepatitis B),Sofosbuvir-Velpatasvir (hepatitis C),Obeticholic Acid (PBC),"Renal toxicity, fatigue, headache, pruritus, nausea"
chronic constipation,Polyethylene Glycol (PEG),Bisacodyl,Lubiprostone,"Bloating, cramping, diarrhea, nausea, abdominal discomfort"
thyroid cancer,Thyroidectomy,Radioactive Iodine (I-131),Levothyroxine (TSH suppression),"Hypothyroidism, palpitations, sialadenitis, bleeding, osteoporosis"
flu (influenza),Oseltamivir,Zanamivir,Baloxavir Marboxil,"Nausea, vomiting, headache, bronchospasm (zanamivir in asthma), diarrhea"
